 product_name,description,features,price,category
Sun Shield Shirt,Lightweight shirt with UPF 50+ sun protection,UPF 50+,45.00,Shirts
Adventure Tee,Breathable and quick-drying t-shirt,Moisture-wicking,30.00,Shirts
UV Blocker Hoodie,Full coverage hoodie for extreme sun,UPF 50+,60.00,Hoodies
Hiking Pants,Durable and water-resistant pants,Convertible,70.00,Pants
Explorer Cap,Wide brim for sun protection,Adjustable,20.00,Accessories
Mountain Shirt,Long sleeve with built-in sun protection,UPF 30+,55.00,Shirts
Trail Runner Tee,Performance fabric with UV protection,UPF 40+,35.00,Shirts
Desert Hoodie,Lightweight hoodie for hot climates,UPF 50+,65.00,Hoodies
Beach Shirt,Quick-dry with sun protection,UPF 50+,40.00,Shirts
Safari Pants,Convertible pants with sun protection,UPF 30+,75.00,Pants
